SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 20
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  8 21  6  0	   0.000000    	  -43.37731    	  -28.08203    	  0.9161489E-01	 -0.9782894E-02	   19.37242    	  -6.254962    	   7.250113    	  -26.76981    	   32.47761    	   0.000000    	   0.000000    	   20.73140    	   0.000000    	   0.000000    	 -0.9045484E-01	   24.66258    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1397541E-02
 1989  8 28  6  0	   0.000000    	  -43.46220    	  -32.15568    	  0.9161489E-01	 -0.9782894E-02	   19.49228    	  -6.432864    	   7.466411    	  -24.18384    	   33.45980    	   0.000000    	   0.000000    	   20.78030    	   0.000000    	   0.000000    	 -0.9288335E-01	   25.04823    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1401127E-02
 1989  9  4  6  0	   0.000000    	  -44.88673    	  -38.64894    	  0.9161489E-01	 -0.9782894E-02	   19.50385    	  -6.609567    	   7.686886    	  -18.80661    	   34.43837    	   0.000000    	   0.000000    	   21.59009    	   0.000000    	   0.000000    	 -0.9676748E-01	   25.74897    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1401895E-02
 1989  9 11  6  0	   0.000000    	  -44.60521    	  -38.65757    	  0.9161489E-01	 -0.9782894E-02	   19.55598    	  -6.784834    	   7.907364    	  -21.28747    	   35.42173    	   0.000000    	   0.000000    	   22.06978    	   0.000000    	   0.000000    	 -0.1002201    	   26.40001    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1411031E-02
 1989  9 18  6  0	   0.000000    	  -44.13724    	  -39.38676    	  0.9161489E-01	 -0.9782894E-02	   19.59265    	  -6.960648    	   8.127338    	  -22.90597    	   36.39913    	   0.000000    	   0.000000    	   22.34566    	   0.000000    	   0.000000    	 -0.1034174    	   26.94882    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1410690E-02
 1989  9 25  6  0	   0.000000    	  -43.85427    	  -39.39971    	  0.9161489E-01	 -0.9782894E-02	   19.68729    	  -7.136613    	   8.346866    	  -24.96117    	   37.38249    	   0.000000    	   0.000000    	   22.51555    	   0.000000    	   0.000000    	 -0.1064896    	   27.44561    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1414191E-02
 1989 10  2  6  0	   0.000000    	  -43.42006    	  -39.74265    	  0.9161489E-01	 -0.9782894E-02	   19.80567    	  -7.312603    	   8.565836    	  -26.74882    	   38.36106    	   0.000000    	   0.000000    	   22.62308    	   0.000000    	   0.000000    	 -0.1094030    	   27.89747    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1426742E-02
 1989 10  9  6  0	   0.000000    	  -42.66890    	  -40.55316    	  0.9161489E-01	 -0.9782894E-02	   19.86902    	  -7.488481    	   8.784351    	  -28.26541    	   39.34325    	   0.000000    	   0.000000    	   22.69471    	   0.000000    	   0.000000    	 -0.1121185    	   28.31631    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1420680E-02
 1989 10 16  6  0	   0.000000    	  -41.92903    	  -44.05289    	  0.9161489E-01	 -0.9782894E-02	   19.87041    	  -7.664064    	   9.003059    	  -27.03341    	   40.32182    	   0.000000    	   0.000000    	   22.77272    	   0.000000    	   0.000000    	 -0.1148961    	   28.74586    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1419826E-02
 1989 10 23  6  0	   0.000000    	  -42.27870    	  -46.19268    	  0.9253356E-01	 -0.9782894E-02	   19.87413    	  -7.839070    	   9.222476    	  -26.18264    	   41.30518    	   0.000000    	   0.000000    	   22.90975    	   0.000000    	   0.000000    	 -0.1178924    	   29.21810    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1413934E-02
